State,Avg_Temp,Annual_Rainfall,Crop,Min_Temp,Max_Temp,Ideal_Rainfall,N_Required,P_Required,K_Required,Base_Yield,Price_Per_Quintal
Assam,25,2000,Tea,20,30,2000,120,60,60,20,2000
Assam,25,2000,Jute,24,35,1500,80,40,40,25,4500
Assam,25,2000,Rice,20,35,1200,100,50,50,35,2000
Bihar,26,1200,Wheat,15,25,600,120,60,40,40,2200
Bihar,26,1200,Maize,21,30,700,150,75,40,45,1800
Bihar,26,1200,Sugarcane,21,35,1500,150,60,60,650,300
Gujarat,27,800,Cotton,21,35,600,120,60,60,25,6000
Gujarat,27,800,Groundnut,25,35,500,60,30,30,18,5500
Gujarat,27,800,Castor,20,35,500,80,40,40,15,6500
Karnataka,24,900,Coffee,15,25,1500,200,100,100,15,9000
Karnataka,24,900,Ragi,18,35,800,50,40,30,25,3200
Karnataka,24,900,Millet,20,35,600,60,30,30,22,2800
Kerala,27,3000,Rubber,20,35,2000,120,60,60,12,15000
Kerala,27,3000,Coconut,20,35,2000,100,50,50,60,4000
Kerala,27,3000,Black Pepper,20,35,2500,140,70,70,8,35000
Madhya Pradesh,25,1100,Soybean,20,35,800,70,40,40,25,4000
Madhya Pradesh,25,1100,Chickpea,15,25,600,40,60,40,18,5000
Madhya Pradesh,25,1100,Wheat,15,25,600,120,60,40,42,2200
Maharashtra,27,1000,Grapes,20,35,800,120,60,60,200,7000
Maharashtra,27,1000,Pomegranate,25,35,500,80,40,40,150,8000
Maharashtra,27,1000,Cotton,21,35,600,120,60,60,23,6000
Punjab,24,700,Wheat,15,25,600,120,60,40,45,2200
Punjab,24,700,Rice,20,35,1200,100,50,50,40,2000
Punjab,24,700,Cotton,21,35,600,120,60,60,28,6000
Tamil Nadu,28,1000,Sugarcane,21,35,1500,150,60,60,700,300
Tamil Nadu,28,1000,Rice,20,35,1200,100,50,50,38,2000
Tamil Nadu,28,1000,Cotton,21,35,600,120,60,60,24,6000
Uttar Pradesh,25,1000,Sugarcane,21,35,1500,150,60,60,680,300
Uttar Pradesh,25,1000,Wheat,15,25,600,120,60,40,43,2200
Uttar Pradesh,25,1000,Potato,15,25,500,120,100,80,250,1500
West Bengal,27,2000,Rice,20,35,1200,100,50,50,42,2000
West Bengal,27,2000,Jute,24,35,1500,80,40,40,28,4500
West Bengal,27,2000,Tea,20,30,2000,120,60,60,18,2000
